0.100,2,331,32,39,3,0,1,0.64,1.9,0,44,20,44,68,14,20
0.490,5,639,197,32,3,1,17,0.58,10.5,1,45,20,42,69,14,44
0.410,5,328,315,27,3,0,,0.58,0.7,1,44,44,41,68,31,41
0.430,5,819,403,31,3,1,47,0.58,9.5,1,46,24,26,69,02,18
0.390,5,578,2515,46,3,0,164,0.50,3.3,1,47,05,16,68,18,32
0.410,5,328,47,39,3,1,1,0.54,1.1,1,44,16,55,70,16,10
0.210,4,54,4381,114,3,1,57,0.59,0.5,0,44,10,45,69,28,30
0.350,4,345,360,80,3,1,15,0.51,1.7,0,44,31,16,69,59,36
0.730,5,524,126,28,3,0,1,0.61,1.0,0,43,57,06,70,46,50
0.240,2,653,588,34,3,0,6,0.53,0.8,1,46,09,10,68,43,18
0.900,5,683,93,18,3,0,10,0.59,18.9,0,44,18,24,70,39,16
0.071,3,212,53,16,3,0,2,0.62,6.8,0,44,12,53,69,07,44
0.620,5,717,272,13,3,0,4,0.56,2.7,1,46,05,50,68,40,33
0.430,5,312,29,42,3,1,1,0.56,3.3,1,44,24,09,69,23,55
0.350,3,195,115,37,3,1,1,0.61,1.3,1,45,06,38,67,10,30
0.340,5,929,390,62,3,1,13,0.61,2.2,0,45,06,38,69,39,19
0.280,5,101,49,18,3,0,0,0.51,0.9,1,43,15,21,70,45,49
0.450,5,419,605,60,3,1,6,0.58,0.7,1,45,32,56,67,33,15
0.370,5,146,44,30,3,1,0,0.46,1.0,1,44,27,54,69,42,20
0.210,4,1157,3053,44,3,0,558,0.46,20.3,1,45,37,20,70,02,08
0.400,5,390,271,36,3,1,3,0.58,0.9,1,44,55,25,68,15,59
1.120,5,311,1539,26,3,0,66,0.56,4.7,1,45,07,39,68,00,26
0.370,3,17,392,63,3,1,21,0.58,2.3,0,43,57,04,69,46,13
0.540,5,487,175,10,3,0,1,0.57,1.5,0,44,15,38,70,35,11
0.860,5,76,234,24,3,0,19,0.66,12.6,0,44,46,08,67,14,56
0.550,5,304,118,40,3,1,3,0.55,1.9,1,44,30,48,69,07,51
0.670,1,1097,164,33,3,1,5,0.51,3.3,1,45,52,01,69,25,37
0.670,5,204,367,38,3,0,9,0.58,2.3,0,44,20,14,69,02,24
0.480,5,232,339,36,3,1,3,0.62,0.7,0,45,03,59,67,29,10
0.600,5,362,239,15,3,0,14,0.06,1.2,1,44,00,24,70,53,25
0.560,5,446,41,53,3,1,1,,,1,46,24,04,67,49,28
0.220,5,1271,970,46,3,0,25,0.66,2.1,0,45,40,34,69,16,36
0.520,5,271,203,22,3,0,9,0.58,10.1,0,43,32,06,70,38,34
0.440,5,474,161,32,3,1,2,0.55,0.7,1,44,25,57,70,13,15
0.220,5,1203,205,43,3,1,2,0.56,0.8,1,45,07,32,69,59,29
0.370,5,1700,70,58,3,1,4,0.56,3.8,1,44,53,52,70,33,16
0.410,3,87,532,57,3,1,106,0.60,14.2,0,44,15,26,69,15,59
0.470,5,778,638,25,3,0,23,0.56,4.2,1,46,05,09,68,33,50
0.370,5,637,13,21,3,1,3,0.50,25.2,1,47,07,11,68,31,19
0.140,3,1045,980,16,3,0,21,0.61,5.4,0,45,44,34,69,33,31
0.410,5,1409,30,50,3,1,1,0.61,1.9,1,44,47,56,70,57,12
0.490,5,67,135,21,3,1,11,0.58,5.9,0,44,27,48,68,40,33
